진행률_pct,페니실린농도_P_mean,기질농도_S_mean,용존산소_DO2_mean,pH_mean,발효온도_T_mean,산소소비율_OUR_mean,염기투입유량_Fb_mean,냉난방수유량_Fc_mean,공기주입유량_Fg_mean,당공급유량_Fs_mean,산투입유량_Fa_mean,PAA투입유량_Fpaa_mean,페니실린농도_P_std,기질농도_S_std,용존산소_DO2_std,pH_std,발효온도_T_std,산소소비율_OUR_std,염기투입유량_Fb_std,냉난방수유량_Fc_std,공기주입유량_Fg_std,당공급유량_Fs_std,산투입유량_Fa_std,PAA투입유량_Fpaa_std
0.0,0.001,1.0816371428571427,14.675857142857142,6.5060714285714285,297.6542857142857,0.020610514285714303,18.16042857142857,0.00010000000000000002,30.0,8.0,0.0,5.0,0.0,0.10498696854022076,0.038587298322591855,0.08503886026459943,0.12499795916701655,0.5991392600583785,23.30686157616705,1.3552527156068805e-20,0.0,0.0,0.0,0.0
0.5,0.0009974093774088285,1.2764663442738282,14.572277378976176,6.54058593350871,297.996264431219,-0.029073488623421944,16.44432296912267,73.57552563289286,30.0,8.0,0.37123285714285714,5.0,5.479945341205993e-07,0.10002635359538839,0.05760867594617392,0.0625613781704733,0.04536717779803988,0.02752515698471839,9.45859572365856,26.800156867248766,0.0,0.0,0.5377725559250142,0.0
1.0,0.0009945513400464044,1.4581511313776756,14.425600180687697,6.498759480761677,298.0202671031746,0.032215828142081133,11.328980709489887,27.12911666618396,30.0,8.0,0.5202,5.0,5.877214670606427e-07,0.11080955660162566,0.09060175510064646,0.01088720323021636,0.02776084327128284,0.04010001070177845,14.037882931053577,13.82340043347281,0.0,0.0,1.2742245641958092,0.0
1.5,0.00099151417978563,1.5923086125352046,14.238709662016907,6.50731508283613,297.99076318877553,0.10869408802811571,21.99743084585228,21.96436059965444,30.0,14.0,0.0,5.0,7.829488568493205e-07,0.14040445214677677,0.11607470500182757,0.018398617235126653,0.027016106840237017,0.05242809834921004,9.980317186878846,10.733067743494136,0.0,2.449489742783178,0.0,0.0
2.0,0.0009883840906650422,1.7584989310857815,14.006500361099251,6.4988159615648025,298.02457142857145,0.1941457107667148,24.867128239496616,33.760549720567724,30.0,15.0,0.0,5.0,9.903621266255234e-07,0.18998040608109765,0.16103279302517975,0.020117170852407624,0.0384665240096859,0.0657691765110187,10.245333214527502,17.45498814187159,0.0,0.0,0.0,0.0
2.5,0.000985244940091351,1.8920454427019666,13.722191722443654,6.4946607864383505,298.07805803571426,0.2980736672976944,24.234034282476955,61.068534471710294,30.0,15.0,0.0,0.7142857142857143,1.1765430231675789e-06,0.27094554844600155,0.2258113240468401,0.013786867730636513,0.042578369277052594,0.08827899973160785,10.085528686554673,28.89831341293323,0.0,0.0,0.0,1.749635530559413
3.0,0.0009820283407782021,1.8957808193815082,13.392637318229479,6.502198451575119,298.11371999999994,0.4113981555680765,29.124224070765734,92.76405793327733,30.0,15.0,0.0,0.0,1.45607109479223e-06,0.3888077023115392,0.3039485900144836,0.013237734686413146,0.05575679048972815,0.11744544573711636,7.092668243034588,39.792602685943585,0.0,0.0,0.0,0.0
3.5,0.0009787672702142943,1.742622670074487,13.023140482008591,6.4966123026741585,298.1406591071429,0.5437324103505703,37.924399773659886,128.91614073206537,30.0,15.0,0.0,0.0,1.6880704887626516e-06,0.5560241880505932,0.39055705203553603,0.010994714063525892,0.0753839136364127,0.1531686630108516,15.792924149670577,60.73097527337969,0.0,0.0,0.0,0.0
4.0,0.0009753615193233155,1.4059915953923745,12.691075760998633,6.501863714474304,298.1651428571428,0.644181464004129,39.49915716360504,166.78122697957517,40.285714285714285,15.0,0.0,0.0,2.030556353747555e-06,0.7707974775324988,0.4570082798219664,0.010244245043616686,0.05630384044610674,0.17119631970157256,4.501452681321326,70.72755336157783,4.199125273342591,0.0,0.0,0.0
4.5,0.0009719676760957769,0.9813800682512828,12.440357496895855,6.498051291135914,298.2467742924528,0.7096348660905808,42.65900567982209,225.38390519763172,42.0,15.0,0.0,0.0,2.2409762353874702e-06,0.85351938267593,0.6363480161678399,0.00952207560628067,0.12137522396380666,0.19889978583691986,16.15315234407401,87.29002985897621,0.0,0.0,0.0,0.0
5.0,0.0009687758699634997,0.6237052675921445,12.518822457329637,6.500002706104405,298.25050205254513,0.6783996876038909,32.0089817380757,213.4108020159999,42.0,15.0,0.0,0.0,2.4135227772350883e-06,0.740248269490751,0.4330610162870162,0.017234663309038594,0.15570557151054149,0.1607639370872237,19.145283428792613,103.31249785042424,0.0,0.0,0.0,0.0
